,taxID,genus,epithet,entry_UIDs,count,outgroup
2592612,2592612,Hemileccinum,subglabripes,['526840234'],1,False
2528269,2528269,Neoboletus,tomentulosus,"['1095786107', '1095786105']",2,False
2488100,2488100,Heimioporus,sp. MZ-2018a,"['1698169318', '1698169316', '1698169314']",3,False
2338527,2338527,Spongispora,temasekensis,['1477503444'],1,False
2316095,2316095,Rhizopogon,subaustralis,['1593541977'],1,False
2108296,2108296,Exsudoporus,floridanus,['312190898'],1,False
2079245,2079245,Phylloporus,Phylloporopsis boletinoides,['1496316512'],1,False
2057779,2057779,Rubroboletus,esculentus,"['1316069305', '1316069301']",2,False
2050028,2050028,Aureoboletus,quercus-spinosae,"['1273279070', '1273279068', '1273279066', '1273279064']",4,False
2048560,2048560,Caloboletus,xiangtoushanensis,"['1272736167', '1272736165', '1272736163']",3,False
2029454,2029454,Afroboletus,multijugus,"['1375422439', '1375422437', '1375422435']",3,False
1987365,1987365,Xerocomus,sp. ABM-2017a,['1407919260'],1,False
1979803,1979803,Suillus,phylopictus,"['1181244428', '1181244426', '1181244424', '1181244422', '1181244420']",5,False
1979801,1979801,Suillus,kwangtungensis,"['1181244396', '1181244394']",2,False
1968697,1968697,Suillus,sp. RZ-2017a,"['1181244493', '1181244491']",2,False
1968696,1968696,Suillus,salmonicolor,['1593541985'],1,False
1964334,1964334,Butyriboletus,sp. 1 KZ-2017,['1159181302'],1,False
1935359,1935359,Rhizopogon,sp.,"['1593541983', '1593541979', '1593541976', '1593541974']",4,False
1930190,1930190,Suillus,alpinus,['1181244443'],1,False
1930189,1930189,Suillus,aurihymenius,"['1181244459', '1181244457']",2,False
1928356,1928356,Suillus,sp.,"['1181244487', '1181244485', '1181244483', '1181244465', '1181244463', '1181244410', '1181244408', '1181244402', '1181244392', '1181244390', '1181244388', '1181244288', '1181244286', '1181244282', '1181244264', '1181244262', '1181244260', '1181244250', '1181244248', '1181244246']",20,False
1918494,1918494,Singerocomus,inundabilis,"['814935197', '814935192', '814935187', '312190906']",4,False
1916381,1916381,Strobilomyces,sp.,['1375422447'],1,False
1914392,1914392,Sutorius,sp. HKAS 58724,['1095467803'],1,False
1914391,1914391,Sutorius,sp. HKAS 59443,['1095467801'],1,False
1914360,1914360,Xerocomus,sp. HKAS 67749,['1095786213'],1,False
1914359,1914359,Xerocomus,sp. HKAS 57765,['1095786211'],1,False
1914358,1914358,Xerocomus,sp. HKAS 57339,['1095786209'],1,False
1914218,1914218,Tengioboletus,sp. HKAS 77869,['1095786177'],1,False
1914216,1914216,Tengioboletus,reticulatus,['1095786175'],1,False
1914215,1914215,Tengioboletus,glutinosus,['1095786173'],1,False
1914213,1914213,Chiua,virens,"['1095786033', '1095786021', '613814033']",3,False
1914212,1914212,Tylocinum,griseolum,['1095786023'],1,False
1914186,1914186,Boletellus,sp. HKAS 74907,['1095785995'],1,False
1914185,1914185,Butyriboletus,sp. MHHNU 7456,['1095785999'],1,False
1914181,1914181,Harrya,sp. HKAS 90194,['1095786239'],1,False
1914180,1914180,Harrya,sp. HKAS 50526,['1095786231'],1,False
1914179,1914179,Harrya,sp. HKAS 51181,['1095786063'],1,False
1914178,1914178,Hemileccinum,sp. HKAS 59445,['1095786049'],1,False
1914177,1914177,Leccinellum,sp. HKAS 53410,['1095786059'],1,False
1914172,1914172,Pulveroboletus,sp. HKAS 52615,['1095786121'],1,False
1914167,1914167,Tylopilus,sp. HKAS 90202,['1095786125'],1,False
1914166,1914166,Tylopilus,sp. HKAS 50211,['1095786025'],1,False
1914164,1914164,Neoboletus,ferrugineus,"['1095786073', '1095786071']",2,False
1914158,1914158,Chiua,olivaceoreticulata,['1095786067'],1,False
1914108,1914108,Xerocomus,yunnanensis,['1095786227'],1,False
1914107,1914107,Xerocomus,velutinus,['1095786207'],1,False
1914106,1914106,Xerocomus,subparvus,"['1095786225', '1095786195']",2,False
1914105,1914105,Xerocomus,rugosellus,['1095786223'],1,False
1914104,1914104,Xerocomus,piceicola,"['1095786221', '1095786219']",2,False
1914102,1914102,Xerocomus,microcapoides,"['1095786217', '1095786215']",2,False
1914101,1914101,Xerocomus,fulvipes,['1095786205'],1,False
1914100,1914100,Xerocomellus,communis,"['1095786203', '1095786201']",2,False
1914099,1914099,Xerocomellus,corneri,"['1095786199', '1095786197']",2,False
1914098,1914098,Xanthoconium,sinense,"['1095786193', '1095786191', '1095786189']",3,False
1914097,1914097,Xanthoconium,porophyllum,['1095786185'],1,False
