,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
1_KF030303.1,2592612,KF030303.1,872,07-DEC-2017,Hemileccinum subglabripes,"location: [0:872]
authors: Nuhn,M.E., Binder,M., Taylor,A.F., Halling,R.E. and Hibbett,D.S.
title: Phylogenetic overview of the Boletineae
journal: Fungal Biol 117 (7-8), 479-511 (2013)
medline id: 
pubmed id: 23931115
comment: 
",['28S ribosomal RNA'],"['USA: Jefferson, NH']",False,Hemileccinum,subglabripes
2_MH879691.1,2528269,MH879691.1,917,27-FEB-2019,Neoboletus tomentulosus,"location: [0:917]
authors: Chai,H., Liang,Z.-Q., Xue,R., Jiang,S., Luo,S.-H., Wang,Y., Wu,L.-L., Tang,L.-P., Chen,Y., Hong,D. and Zeng,N.-K.
title: New and noteworthy boletes from subtropical and tropical China
journal: MycoKeys 46, 55-96 (2019)
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China: Fujian Province'],False,Neoboletus,tomentulosus
3_NG_064493.1,2338527,NG_064493.1,896,27-FEB-2019,Spongispora temasekensis,"location: [0:896]
authors: Wu,G., Lee,S.M., Horak,E. and Yang,Z.L.
title: Spongispora temasekensis, a new boletoid genus and species from Singapore
journal: Mycologia (2018) In press
medline id: 
pubmed id: 30215573
comment: Publication Status: Available-Online prior to print
",['28S ribosomal RNA'],['Singapore'],False,Spongispora,temasekensis
5_KY272129.1,2057779,KY272129.1,782,27-DEC-2017,Rubroboletus esculentus,"location: [0:782]
authors: Zhao,K. and Shao,H.M.
title: A new edible bolete, Rubroboletus esculentus, from southwestern China
journal: Phytotaxa 303 (3), 243-252 (2017)
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Rubroboletus,esculentus
6_NG_057121.1,2050028,NG_057121.1,836,17-MAY-2018,Aureoboletus quercus-spinosae,"location: [0:836]
authors: Zhang,M., Li,T.H., Nuhn,M.E., Tsering,T. and Song,B.
title: Aureoboletus quercus-spinosae, a new species from Tibet of China
journal: Mycoscience 58 (3), 192-196 (2017)
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Aureoboletus,quercus-spinosae
7_MH879702.1,2048560,MH879702.1,929,27-FEB-2019,Caloboletus xiangtoushanensis,"location: [0:929]
authors: Chai,H., Liang,Z.-Q., Xue,R., Jiang,S., Luo,S.-H., Wang,Y., Wu,L.-L., Tang,L.-P., Chen,Y., Hong,D. and Zeng,N.-K.
title: New and noteworthy boletes from subtropical and tropical China
journal: MycoKeys 46, 55-96 (2019)
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China: Fujian Province'],False,Caloboletus,xiangtoushanensis
8_MF614166.1,1987365,MF614166.1,872,27-JUN-2018,Xerocomus sp. ABM-2017a,"location: [0:872]
authors: Smith,M.E., Obase,K., Mujic,A.B., Kraisit,N., Hitchcock,H.C., Bessette,A.R. and Bessette,A.E.
title: Xerocomus sclerotiorum sp. nov., a colorful new bolete species from the Eastern United States that forms hidden sclerotia in leaf litter and soil
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],"['USA: Tennessee, Anderson County, Oakridge']",False,Xerocomus,sp. ABM-2017a
9_NG_059657.1,1979803,NG_059657.1,896,05-JUN-2018,Suillus phylopictus,"location: [0:896]
authors: Zhang,R., Mueller,G.M., Shi,X.F. and Liu,P.G.
title: Two new species in the Suillus spraguei complex from China
journal: Mycologia 109 (2), 296-307 (2017)
medline id: 
pubmed id: 28463625
comment: 
",['28S ribosomal RNA'],"['China: Guangdong, Ruyuan County']",False,Suillus,phylopictus
10_NG_059658.1,1979801,NG_059658.1,930,05-JUN-2018,Suillus kwangtungensis,"location: [0:930]
authors: Zhang,R., Mueller,G.M., Shi,X.F. and Liu,P.G.
title: Two new species in the Suillus spraguei complex from China
journal: Mycologia 109 (2), 296-307 (2017)
medline id: 
pubmed id: 28463625
comment: 
",['28S ribosomal RNA'],"['China: Guangdong, Ruyuan County']",False,Suillus,kwangtungensis
11_KU721332.1,1968697,KU721332.1,910,30-NOV-2017,Suillus sp. RZ-2017a,"location: [0:910]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],"['China: Qing Shui Tang Village, Baoshan, Yunnan province']",False,Suillus,sp. RZ-2017a
12_KX170999.1,1968696,KX170999.1,905,30-NOV-2017,Suillus salmonicolor,"location: [0:905]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of the Evolutionary History of Ectomycorrhizal Fungi Revealed by Host Association Analysis in the Genus Suillus (Boletales, Basidiomycota)
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['Belize: Pine ridge mountains'],False,Suillus,salmonicolor
13_KP859291.1,1935359,KP859291.1,915,08-AUG-2017,Rhizopogon sp.,"location: [0:915]
authors: Gordon,M.
title: Genetic information from rare species in the mycological collections of the Oregon State University Herbarium
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],"['USA: OR, Deschutes County']",False,Rhizopogon,sp.
14_KU663236.1,1930190,KU663236.1,895,05-APR-2018,Suillus alpinus,"location: [0:895]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],"['China: Gongbu Natural Conservatism, Langlu Zhen, Nyingchi, Tibet']",False,Suillus,alpinus
15_KU663241.1,1930189,KU663241.1,856,05-APR-2018,Suillus aurihymenius,"location: [0:856]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],"[""China: Huzhong Natural Conservatism, Huma, Daxing'anling, Heilongjiang province""]",False,Suillus,aurihymenius
16_KU663209.1,1928356,KU663209.1,934,05-APR-2018,Suillus sp.,"location: [0:934]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],"['China: Baima Snow Mt., Diqing Xian, Yunnan province']",False,Suillus,sp.
