,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
1_MK766299.1,2592612,MK766299.1,771,18-DEC-2019,Hemileccinum subglabripes,"location: [0:771]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['USA: Illionois'],False,Hemileccinum,subglabripes
2_KT990445.1,2528269,KT990445.1,694,06-NOV-2016,Neoboletus tomentulosus,"location: [0:694]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,tomentulosus
3_MG674378.1,2338527,MG674378.1,791,24-SEP-2018,Spongispora temasekensis,"location: [0:791]
authors: Wu,G., Lee,S.M., Horak,E. and Yang,Z.L.
title: Spongispora temasekensis, a new boletoid genus and species from Singapore
journal: Mycologia (2018) In press
medline id: 
pubmed id: 30215573
comment: Publication Status: Available-Online prior to print
",['rpb2'],['Singapore'],False,Spongispora,temasekensis
4_MH890581.1,2316095,MH890581.1,774,23-MAR-2019,Rhizopogon subaustralis,"location: [0:774]
authors: Mujic,A.B., Zheng,N., Kim,K., Spatafora,J.W., Castellano,M.A. and Smith,M.E.
title: The Cedrus-associated truffle Trappeindia himalayensis is a morphologically unique and phylogenetically divergent species of Rhizopogon
journal: Mycologia, 1-10 (2019) In press
medline id: 
pubmed id: 30753119
comment: Publication Status: Available-Online prior to print
",['RPB2'],['USA'],False,Rhizopogon,subaustralis
5_MK766287.1,2108296,MK766287.1,768,18-DEC-2019,Exsudoporus floridanus,"location: [0:768]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['Belize'],False,Exsudoporus,floridanus
6_KY272135.1,2057779,KY272135.1,733,27-DEC-2017,Rubroboletus esculentus,"location: [0:733]
authors: Zhao,K. and Shao,H.M.
title: A new edible bolete, Rubroboletus esculentus, from southwestern China
journal: Phytotaxa 303 (3), 243-252 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Rubroboletus,esculentus
7_KY039957.1,2050028,KY039957.1,793,07-NOV-2017,Aureoboletus quercus-spinosae,"location: [0:793]
authors: Zhang,M., Li,T.H., Nuhn,M.E., Tsering,T. and Song,B.
title: Aureoboletus quercus-spinosae, a new species from Tibet of China
journal: Mycoscience 58 (3), 192-196 (2017)
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Aureoboletus,quercus-spinosae
8_KY553126.1,2029454,KY553126.1,642,11-APR-2018,Afroboletus multijugus,"location: [0:642]
authors: Han,L.H., Buyck,B., Yourou,N.S., Halling,R.E. and Yang,Z.L.
title: Afroboletus sequestratus (Boletales), the first species with sequestrate basidioma in the genus
journal: Phytotaxa 305 (1), 11-20 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb2'],,False,Afroboletus,multijugus
9_MF614164.1,1987365,MF614164.1,620,27-JUN-2018,Xerocomus sp. ABM-2017a,"location: [0:620]
authors: Smith,M.E., Obase,K., Mujic,A.B., Kraisit,N., Hitchcock,H.C., Bessette,A.R. and Bessette,A.E.
title: Xerocomus sclerotiorum sp. nov., a colorful new bolete species from the Eastern United States that forms hidden sclerotia in leaf litter and soil
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],"['USA: Tennessee, Anderson County, Oakridge']",False,Xerocomus,sp. ABM-2017a
10_KU852359.1,1979803,KU852359.1,749,30-NOV-2017,Suillus phylopictus,"location: [0:749]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Yunnan, Dali']",False,Suillus,phylopictus
