,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
0,2592612,MK766299.1,771,18-DEC-2019,Hemileccinum subglabripes,"location: [0:771]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['USA: Illionois'],False,Hemileccinum,subglabripes
1,2528269,KT990445.1,694,06-NOV-2016,Neoboletus tomentulosus,"location: [0:694]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,tomentulosus
2,2338527,MG674378.1,791,24-SEP-2018,Spongispora temasekensis,"location: [0:791]
authors: Wu,G., Lee,S.M., Horak,E. and Yang,Z.L.
title: Spongispora temasekensis, a new boletoid genus and species from Singapore
journal: Mycologia (2018) In press
medline id: 
pubmed id: 30215573
comment: Publication Status: Available-Online prior to print
",['rpb2'],['Singapore'],False,Spongispora,temasekensis
3,2316095,MH890581.1,774,23-MAR-2019,Rhizopogon subaustralis,"location: [0:774]
authors: Mujic,A.B., Zheng,N., Kim,K., Spatafora,J.W., Castellano,M.A. and Smith,M.E.
title: The Cedrus-associated truffle Trappeindia himalayensis is a morphologically unique and phylogenetically divergent species of Rhizopogon
journal: Mycologia, 1-10 (2019) In press
medline id: 
pubmed id: 30753119
comment: Publication Status: Available-Online prior to print
",['RPB2'],['USA'],False,Rhizopogon,subaustralis
4,2108296,MK766287.1,768,18-DEC-2019,Exsudoporus floridanus,"location: [0:768]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['Belize'],False,Exsudoporus,floridanus
5,2057779,KY272135.1,733,27-DEC-2017,Rubroboletus esculentus,"location: [0:733]
authors: Zhao,K. and Shao,H.M.
title: A new edible bolete, Rubroboletus esculentus, from southwestern China
journal: Phytotaxa 303 (3), 243-252 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Rubroboletus,esculentus
6,2050028,KY039957.1,793,07-NOV-2017,Aureoboletus quercus-spinosae,"location: [0:793]
authors: Zhang,M., Li,T.H., Nuhn,M.E., Tsering,T. and Song,B.
title: Aureoboletus quercus-spinosae, a new species from Tibet of China
journal: Mycoscience 58 (3), 192-196 (2017)
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Aureoboletus,quercus-spinosae
7,2029454,KY553126.1,642,11-APR-2018,Afroboletus multijugus,"location: [0:642]
authors: Han,L.H., Buyck,B., Yourou,N.S., Halling,R.E. and Yang,Z.L.
title: Afroboletus sequestratus (Boletales), the first species with sequestrate basidioma in the genus
journal: Phytotaxa 305 (1), 11-20 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb2'],,False,Afroboletus,multijugus
8,1987365,MF614164.1,620,27-JUN-2018,Xerocomus sp. ABM-2017a,"location: [0:620]
authors: Smith,M.E., Obase,K., Mujic,A.B., Kraisit,N., Hitchcock,H.C., Bessette,A.R. and Bessette,A.E.
title: Xerocomus sclerotiorum sp. nov., a colorful new bolete species from the Eastern United States that forms hidden sclerotia in leaf litter and soil
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],"['USA: Tennessee, Anderson County, Oakridge']",False,Xerocomus,sp. ABM-2017a
9,1979803,KU852359.1,749,30-NOV-2017,Suillus phylopictus,"location: [0:749]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Yunnan, Dali']",False,Suillus,phylopictus
10,1968697,KU852297.1,785,30-NOV-2017,Suillus sp. RZ-2017a,"location: [0:785]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Daqing Shan Forest, Huili, Sichuan province']",False,Suillus,sp. RZ-2017a
11,1935359,MH890579.1,694,23-MAR-2019,Rhizopogon sp.,"location: [0:694]
authors: Mujic,A.B., Zheng,N., Kim,K., Spatafora,J.W., Castellano,M.A. and Smith,M.E.
title: The Cedrus-associated truffle Trappeindia himalayensis is a morphologically unique and phylogenetically divergent species of Rhizopogon
journal: Mycologia, 1-10 (2019) In press
medline id: 
pubmed id: 30753119
comment: Publication Status: Available-Online prior to print
",['RPB2'],['USA'],False,Rhizopogon,sp.
12,1930190,KU852327.1,745,30-NOV-2017,Suillus alpinus,"location: [0:745]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Gongbu Natural Conservatism, Langlu Zhen, Nyingchi, Tibet']",False,Suillus,alpinus
13,1930189,KU852326.1,703,30-NOV-2017,Suillus aurihymenius,"location: [0:703]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Genhe City, Inner Mongolia']",False,Suillus,aurihymenius
14,1928356,KU852294.1,685,30-NOV-2017,Suillus sp.,"location: [0:685]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Lijiang, Yunnan province']",False,Suillus,sp.
15,1918494,LC043086.1,795,19-JAN-2017,Singerocomus inundabilis,"authors: Henkel,T.W., Obase,K., Husbands,D., Uehling,J.K., Bonito,G., Aime,M.C. and Smith,M.E.
title: New Boletaceae taxa from Guyana: Binderoboletus segoi gen. and sp. nov., Guyanaporus albipodus gen. and sp. nov., Singerocomus rubriflavus gen. and sp. nov., and a new combination for Xerocomus inundabilis
journal: Mycologia 108 (1), 157-173 (2016)
medline id: 
pubmed id: 26490700
comment: Erratum:[Mycologia. 2016 Mar;108(2):469. PMID: 27127214]
",['rpb2'],['Guyana'],False,Singerocomus,inundabilis
16,1916381,MK766366.1,770,18-DEC-2019,Strobilomyces sp.,"location: [0:770]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['Dominican Republic'],False,Strobilomyces,sp.
17,1914392,KU974145.1,705,01-NOV-2017,Sutorius sp. HKAS 58724,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Sutorius,sp. HKAS 58724
18,1914391,KU974144.1,705,01-NOV-2017,Sutorius sp. HKAS 59443,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Sutorius,sp. HKAS 59443
19,1914216,KT990481.1,705,06-NOV-2016,Tengioboletus reticulatus,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tengioboletus,reticulatus
